,time slot,timepoint (sec)
set1,538,
set2,228,
set3,273,
set4,297,
set5,78,
set6,295,
set7,540,
set8,540,
set9,538,
set10,538,
set11,543,
set12,535,
set13,538,
set14,543,
set15,273,
set16,467,
set17,538,
set18,538,
set19,538,
set20,540,
set21,249,
set22,540,
set23,96,
set24,535,
set25,307,
set26,154,
set27,540,
set28,540,
set29,538,
set30,540,
set31,540,
set32,288,
set33,540,
set34,540,
set35,170,
set36,312,
set37,540,
set38,538,
set39,169,
set40,170,
set41,292,
set42,540,
set43,198,
set44,540,
set45,401,
set46,538,
set47,494,
set48,464,
set49,150,
set50,493,
set51,543,
set52,234,
set53,538,
set54,540,
set55,177,
set56,538,
set57,540,
set58,534,
set59,540,
set60,158,
set61,540,
set62,538,
set63,540,
set64,467,
set65,124,
set66,540,
set67,540,
set68,538,
set69,215,
set70,540,
set71,401,
set72,305,
set73,540,
set74,540,
set75,96,
set76,538,
set77,538,
set78,332,
set79,516,
set80,313,
set81,540,
set82,540,
set83,540,
set84,387,
set85,540,
set86,250,
set87,540,
set88,514,
set89,540,
set90,538,
set91,535,
set92,189,
set93,540,
set94,202,
set95,233,
set96,264,
set97,540,
set98,117,
set99,230,
set100,70,
