,set 1,set 2,set 3,set 4,set 5,set 6,set 7,set 8,set 9,set 10,set 11,set 12,set 13,set 14,set 15,set 16,set 17,set 18,set 19,set 20,set 21,set 22,set 23,set 24,set 25,set 26,set 27,set 28,set 29,set 30,set 31,set 32,set 33,set 34,set 35,set 36,set 37,set 38,set 39,set 40,set 41,set 42,set 43,set 44,set 45,set 46,set 47,set 48,set 49,set 50,set 51,set 52,set 53,set 54,set 55,set 56,set 57,set 58,set 59,set 60,set 61,set 62,set 63,set 64,set 65,set 66,set 67,set 68,set 69,set 70,set 71,set 72,set 73,set 74,set 75,set 76,set 77,set 78,set 79,set 80,set 81,set 82,set 83,set 84,set 85,set 86,set 87,set 88,set 89,set 90,set 91,set 92,set 93,set 94,set 95,set 96,set 97,set 98,set 99,set 100,average
0,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.02
0.05,8,8,17,10,4,12,4,4,4,4,4,13,4,7,4,9,14,4,4,13,6,4,10,4,6,4,9,11,4,6,13,4,4,4,8,4,4,4,15,4,4,12,7,4,16,4,7,4,4,4,4,10,9,4,4,10,8,4,4,10,4,4,4,4,4,4,4,4,4,25,11,4,4,4,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,20,4,6.19
0.1,18,14,11,15,22,13,13,7,6,10,12,17,7,8,10,13,16,13,15,14,20,11,26,12,9,11,18,13,12,13,13,11,8,14,11,12,8,10,16,20,17,15,10,12,27,11,10,11,17,12,8,21,11,14,16,37,23,11,12,11,11,14,7,12,8,7,8,9,12,17,12,7,7,6,7,18,9,17,22,9,9,18,7,15,16,15,11,13,19,21,12,8,8,23,15,10,7,21,21,12,13.28
0.15,31,14,28,24,20,21,19,10,9,26,21,19,19,22,21,18,36,15,16,29,15,12,31,19,23,24,25,27,16,18,21,22,17,25,21,22,10,18,25,17,17,25,25,23,33,13,18,15,23,21,11,25,15,12,33,30,43,8,12,24,11,29,17,18,17,16,21,20,18,30,23,9,16,9,32,26,22,20,19,26,16,18,9,30,16,34,20,18,20,25,19,11,8,24,17,22,10,20,30,11,20.29
0.2,33,27,28,31,26,28,39,30,26,25,26,38,32,27,29,28,30,25,32,28,19,26,40,24,33,19,34,29,36,31,26,30,25,23,26,37,20,29,32,29,27,31,26,38,33,14,22,28,40,25,23,39,30,25,26,38,40,19,27,32,23,29,25,30,22,19,27,34,24,23,23,26,21,13,31,30,28,29,33,30,26,30,30,30,18,30,37,24,31,36,25,26,24,30,23,26,23,29,43,18,28.18
0.25,41,34,38,38,47,35,34,37,33,36,33,45,34,47,35,27,41,34,36,48,23,36,38,25,33,44,47,43,33,35,35,34,39,41,35,46,30,30,45,35,36,42,38,37,58,23,34,40,46,39,28,41,30,25,48,54,53,46,33,40,34,41,35,39,28,24,38,44,47,49,36,32,13,26,40,33,38,36,38,42,39,38,36,40,26,40,39,38,40,40,40,31,32,43,30,33,24,34,62,27,37.16
0.3,10,10,10,17,47,8,48,51,36,5,41,16,36,12,43,8,13,40,49,14,5,46,8,41,10,50,10,20,44,6,8,34,37,49,5,59,39,41,8,43,46,9,16,49,26,32,5,54,56,49,39,8,8,41,49,8,8,50,50,8,49,59,40,43,43,34,50,50,53,6,16,40,13,33,13,5,58,49,41,50,53,50,45,45,35,8,49,49,48,56,51,56,34,53,38,33,26,46,11,37,32.56
0.35,25,29,20,18,12,16,10,48,45,11,10,16,10,23,31,25,19,10,17,34,11,12,16,10,25,19,18,18,16,11,16,10,47,16,24,11,19,10,29,10,10,20,25,10,28,14,11,10,10,12,12,21,8,28,10,17,13,27,10,21,15,10,10,13,12,13,11,13,50,21,36,11,16,39,21,8,38,10,26,11,37,15,10,23,19,15,10,10,14,15,16,12,15,16,16,10,10,24,32,10,18.07
0.4,28,30,22,18,27,31,24,13,15,10,18,27,24,5,52,24,16,18,33,30,18,26,27,25,26,17,33,33,21,19,21,13,11,30,23,21,33,20,27,35,21,23,45,24,27,20,17,25,16,23,27,19,9,37,19,27,14,32,17,25,29,23,21,24,24,28,26,22,23,27,51,22,26,30,26,24,29,26,22,29,44,22,24,38,34,22,25,22,27,40,41,30,36,21,33,24,23,40,40,26,25.55
0.45,38,46,5,24,27,28,33,38,31,21,22,19,31,13,42,33,26,26,38,24,15,28,38,49,38,24,39,33,41,19,33,19,23,34,35,27,28,28,32,29,24,28,45,33,40,35,34,38,35,27,36,30,9,31,20,32,24,12,33,31,25,22,37,38,30,34,38,41,39,35,44,18,7,26,32,19,42,41,43,39,27,32,18,32,40,29,33,19,42,39,49,31,37,30,29,34,45,26,20,29,30.65
