,time slot,timepoint (sec)
set1,55,2.75
set2,50,2.5
set3,55,2.75
set4,52,2.6
set5,52,2.6
set6,52,2.6
set7,55,2.75
set8,57,2.85
set9,55,2.75
set10,55,2.75
set11,52,2.6
set12,55,2.75
set13,57,2.85
set14,52,2.6
set15,55,2.75
set16,55,2.75
set17,55,2.75
set18,55,2.75
set19,52,2.6
set20,52,2.6
set21,52,2.6
set22,52,2.6
set23,60,3
set24,55,2.75
set25,55,2.75
set26,57,2.85
set27,55,2.75
set28,57,2.85
set29,52,2.6
set30,55,2.75
set31,55,2.75
set32,52,2.6
set33,55,2.75
set34,55,2.75
set35,57,2.85
set36,55,2.75
set37,57,2.85
set38,55,2.75
set39,55,2.75
set40,52,2.6
set41,55,2.75
set42,55,2.75
set43,55,2.75
set44,52,2.6
set45,55,2.75
set46,55,2.75
set47,55,2.75
set48,55,2.75
set49,52,2.6
set50,57,2.85
set51,52,2.6
set52,55,2.75
set53,55,2.75
set54,60,3
set55,57,2.85
set56,55,2.75
set57,55,2.75
set58,55,2.75
set59,55,2.75
set60,57,2.85
set61,55,2.75
set62,52,2.6
set63,55,2.75
set64,55,2.75
set65,52,2.6
set66,57,2.85
set67,57,2.85
set68,55,2.75
set69,55,2.75
set70,55,2.75
set71,55,2.75
set72,50,2.5
set73,52,2.6
set74,50,2.5
set75,55,2.75
set76,55,2.75
set77,55,2.75
set78,57,2.85
set79,55,2.75
set80,55,2.75
set81,55,2.75
set82,55,2.75
set83,55,2.75
set84,55,2.75
set85,55,2.75
set86,55,2.75
set87,50,2.5
set88,57,2.85
set89,57,2.85
set90,55,2.75
set91,57,2.85
set92,52,2.6
set93,55,2.75
set94,52,2.6
set95,55,2.75
set96,52,2.6
set97,55,2.75
set98,50,2.5
set99,55,2.75
set100,55,2.75
average,54.52,2.726
