,time slot,timepoint (sec)
set1,16,0.8
set2,20,1
set3,8,0.4
set4,16,0.8
set5,32,1.6
set6,38,1.9
set7,33,1.65
set8,27,1.35
set9,22,1.1
set10,14,0.7
set11,24,1.2
set12,22,1.1
set13,6,0.3
set14,18,0.9
set15,5,0.25
set16,35,1.75
set17,45,2.25
set18,26,1.3
set19,17,0.85
set20,56,2.8
set21,11,0.55
set22,29,1.45
set23,51,2.55
set24,25,1.25
set25,71,3.55
set26,59,2.95
set27,10,0.5
set28,34,1.7
set29,57,2.85
set30,19,0.95
set31,33,1.65
set32,10,0.5
set33,19,0.95
set34,17,0.85
set35,16,0.8
set36,25,1.25
set37,27,1.35
set38,50,2.5
set39,14,0.7
set40,36,1.8
set41,12,0.6
set42,13,0.65
set43,4,0.2
set44,11,0.55
set45,21,1.05
set46,50,2.5
set47,18,0.9
set48,8,0.4
set49,7,0.35
set50,35,1.75
set51,23,1.15
set52,22,1.1
set53,20,1
set54,44,2.2
set55,15,0.75
set56,19,0.95
set57,19,0.95
set58,17,0.85
set59,27,1.35
set60,45,2.25
set61,38,1.9
set62,40,2
set63,37,1.85
set64,31,1.55
set65,20,1
set66,38,1.9
set67,24,1.2
set68,24,1.2
set69,35,1.75
set70,16,0.8
set71,12,0.6
set72,8,0.4
set73,21,1.05
set74,15,0.75
set75,28,1.4
set76,67,3.35
set77,5,0.25
set78,9,0.45
set79,36,1.8
set80,23,1.15
set81,12,0.6
set82,33,1.65
set83,43,2.15
set84,58,2.9
set85,20,1
set86,10,0.5
set87,12,0.6
set88,44,2.2
set89,13,0.65
set90,33,1.65
set91,10,0.5
set92,18,0.9
set93,7,0.35
set94,10,0.5
set95,22,1.1
set96,36,1.8
set97,16,0.8
set98,24,1.2
set99,17,0.85
set100,23,1.15
average,25.11,1.2555
