,time slot,time point (sec)
set 1,97,4.85
set 2,92,4.6
set 3,92,4.6
set 4,97,4.85
set 5,95,4.75
set 6,90,4.5
set 7,95,4.75
set 8,95,4.75
set 9,92,4.6
set 10,92,4.6
set 11,95,4.75
set 12,95,4.75
set 13,95,4.75
set 14,95,4.75
set 15,90,4.5
set 16,95,4.75
set 17,95,4.75
set 18,95,4.75
set 19,95,4.75
set 20,95,4.75
set 21,97,4.85
set 22,92,4.6
set 23,90,4.5
set 24,92,4.6
set 25,92,4.6
set 26,92,4.6
set 27,92,4.6
set 28,95,4.75
set 29,92,4.6
set 30,92,4.6
set 31,92,4.6
set 32,97,4.85
set 33,95,4.75
set 34,92,4.6
set 35,97,4.85
set 36,92,4.6
set 37,95,4.75
set 38,90,4.5
set 39,95,4.75
set 40,95,4.75
set 41,97,4.85
set 42,92,4.6
set 43,92,4.6
set 44,97,4.85
set 45,95,4.75
set 46,95,4.75
set 47,97,4.85
set 48,95,4.75
set 49,95,4.75
set 50,95,4.75
set 51,95,4.75
set 52,95,4.75
set 53,95,4.75
set 54,90,4.5
set 55,92,4.6
set 56,95,4.75
set 57,95,4.75
set 58,95,4.75
set 59,97,4.85
set 60,95,4.75
set 61,92,4.6
set 62,95,4.75
set 63,92,4.6
set 64,97,4.85
set 65,95,4.75
set 66,92,4.6
set 67,92,4.6
set 68,92,4.6
set 69,95,4.75
set 70,90,4.5
set 71,92,4.6
set 72,97,4.85
set 73,95,4.75
set 74,92,4.6
set 75,90,4.5
set 76,95,4.75
set 77,95,4.75
set 78,92,4.6
set 79,92,4.6
set 80,92,4.6
set 81,95,4.75
set 82,95,4.75
set 83,92,4.6
set 84,95,4.75
set 85,92,4.6
set 86,92,4.6
set 87,95,4.75
set 88,95,4.75
set 89,92,4.6
set 90,95,4.75
set 91,87,4.35
set 92,97,4.85
set 93,92,4.6
set 94,92,4.6
set 95,92,4.6
set 96,95,4.75
set 97,95,4.75
set 98,95,4.75
set 99,92,4.6
set 100,95,4.75
average,93.76,4.688
