,time slot, time point (sec)
set1,87,4.35
set2,90,4.5
set3,82,4.1
set4,87,4.35
set5,87,4.35
set6,87,4.35
set7,85,4.25
set8,85,4.25
set9,85,4.25
set10,87,4.35
set11,87,4.35
set12,87,4.35
set13,90,4.5
set14,87,4.35
set15,87,4.35
set16,87,4.35
set17,87,4.35
set18,90,4.5
set19,87,4.35
set20,87,4.35
set21,85,4.25
set22,90,4.5
set23,87,4.35
set24,87,4.35
set25,90,4.5
set26,87,4.35
set27,87,4.35
set28,87,4.35
set29,87,4.35
set30,90,4.5
set31,87,4.35
set32,90,4.5
set33,87,4.35
set34,87,4.35
set35,87,4.35
set36,87,4.35
set37,87,4.35
set38,90,4.5
set39,87,4.35
set40,85,4.25
set41,87,4.35
set42,90,4.5
set43,85,4.25
set44,85,4.25
set45,90,4.5
set46,90,4.5
set47,85,4.25
set48,87,4.35
set49,87,4.35
set50,85,4.25
set51,87,4.35
set52,85,4.25
set53,87,4.35
set54,87,4.35
set55,90,4.5
set56,85,4.25
set57,90,4.5
set58,87,4.35
set59,87,4.35
set60,87,4.35
set61,90,4.5
set62,87,4.35
set63,90,4.5
set64,85,4.25
set65,87,4.35
set66,87,4.35
set67,90,4.5
set68,85,4.25
set69,87,4.35
set70,87,4.35
set71,90,4.5
set72,87,4.35
set73,87,4.35
set74,90,4.5
set75,85,4.25
set76,85,4.25
set77,87,4.35
set78,90,4.5
set79,90,4.5
set80,85,4.25
set81,87,4.35
set82,90,4.5
set83,87,4.35
set84,85,4.25
set85,87,4.35
set86,87,4.35
set87,85,4.25
set88,87,4.35
set89,87,4.35
set90,85,4.25
set91,92,4.6
set92,87,4.35
set93,87,4.35
set94,87,4.35
set95,87,4.35
set96,87,4.35
set97,85,4.25
set98,90,4.5
set99,87,4.35
set100,90,4.5
average,87.29,4.3645
